,equities_list
1314,NMR
1315,GENY
1316,SG
1317,CRM
1318,PBF
1319,XAN
1320,MICT
1321,CDK
1322,MDLA
1323,CPRI
1324,NYT
1325,SPRT
1326,TVC
1327,CAAP
1328,KFRC
1329,ASGN
1330,ECCY
1331,CINR
1332,SACC
1333,THCAW
1334,GH
1335,FIVN
1336,VRIG
1337,ATNM
1338,LDOS
1339,BOH
1340,NUO
1341,ANDAR
1342,TNET
1343,MCHI
1344,SYKE
1345,BHAT
1346,SPT
1347,HLF
1348,NRIM
1349,FVAC
1350,NNVC
1351,IMUX
1352,LGC.U
1353,ACBI
1354,ZTO
1355,IMAB
1356,NERV
1357,UZB
1358,SEDG
1359,MYF
1360,HIO
1361,NXPI
1362,FEM
1363,XNET
1364,CNXN
1365,NTES
1366,LONE
1367,TMUS
1368,DTY
1369,LI
1370,CIEN
1371,LYG
1372,SMP
1373,STAY
1374,CAPL
1375,EVSTC
1376,AKER
1377,CJJD
1378,AUB
1379,HBMD
1380,ATEX
1381,REAL
1382,CLIR
1383,GGAL
1384,NH
1385,HNW
1386,ONE
1387,EV
1388,WIT
1389,CMCSA
1390,CHTR
1391,OUT
1392,GDOT
1393,LOCO
1394,ESSCR
1395,HBANO
1396,GOAC.U
1397,LOOP
1398,WBS
1399,CELG~
1400,PBFS
1401,TESS
1402,INTU
1403,HEES
1404,GHIV
1405,ARA
1406,FLNT
1407,MSGE
1408,IMXI
1409,MGA
1410,PWFL
1411,GPX
1412,FTXR
1413,SAF
1414,TWO
1415,ANDAW
1416,LEGN
1417,CLI
1418,TCF
1419,GSM
1420,JFR
1421,BHV
1422,CAC
1423,BKNG
1424,GRNV
1425,ENOB
1426,CCBG
1427,APPN
1428,SKYW
1429,SUN
1430,DOYU
1431,WHR
1432,ROL
1433,BL
1434,PSEC
1435,BPYPP
1436,NP
1437,EDAP
1438,ATRC
1439,MLI
1440,JNJ
1441,AVK
1442,IROQ
1443,COHU
1444,OPHC
1445,CALT
1446,ADXS
1447,DMYD.U
1448,TREC
1449,RUSHB
1450,KLDO
1451,AHPI
1452,DRI
1453,MOGO
1454,SPPI
1455,ABIO
1456,BUG
1457,AIR
1458,VBND
1459,GIX
1460,NOM
1461,HUIZ
1462,PNW
1463,PSCI
1464,GLPG
1465,VNET
1466,EVLO
1467,HRC
1468,GSBD
1469,GOODN
1470,ICON
1471,LINC
1472,BWFG
1473,PTC
1474,UNM
1475,XELB
1476,BSCT
1477,IVZ
1478,BSCR
1479,QEP
1480,MFT
1481,EXLS
1482,INDY
1483,NVO
1484,CABA
1485,EGBN
1486,DEA
1487,SDGR
1488,VET
1489,ZNGA
1490,NTEST.B
1491,BXG
1492,SRLP
1493,PJT
1494,EVBG
1495,PQG
1496,NMFC
1497,LANDP
1498,BIG
1499,PFG
1500,DBL
1501,VRMEW
1502,ALLE
1503,AGZD
1504,SOI
1505,MLND
1506,YMAB
1507,BIVI
1508,ARDS
1509,MCHP
1510,WTM
1511,BIO.B
1512,STBA
1513,SABR
1514,LSXMK
1515,ESQ
1516,AAXJ
1517,IHIT
1518,PLIN
1519,LOPE
1520,WF
1521,FFIC
1522,PTEN
1523,HGV
1524,HWCPL
1525,PME
1526,MSC
1527,FCX
1528,OPP~$
1529,TH
1530,VLGEA
1531,ESGD
1532,GS
1533,FXNC
1534,IRIX
1535,FSS
1536,EGAN
1537,PY
1538,FORR
1539,ORGS
1540,FBIOP
1541,REV
1542,FKO
1543,VRNS
1544,BMEZ
1545,VFL
1546,SONM
1547,CGC
1548,HROW
1549,ALB
1550,GPL
1551,AUPH
1552,PVG
1553,FRAF
1554,E
1555,FMBIP
1556,NGHCN
1557,DGRW
1558,AGRX
1559,PK
1560,KOF
1561,PFMT
1562,OSS
1563,XIN
1564,EVA
1565,STRL
1566,UBP
1567,LYFT
1568,PETS
1569,WHD
1570,MGIC
1571,SU
1572,IPOC.U
1573,BLE
1574,MNSB
1575,CARE
1576,PBYI
1577,EBAY
1578,TECK
1579,MCD
1580,ING
1581,UNFI
1582,SCHW
1583,LMND
1584,ABR
1585,UFPI
1586,PLPC
1587,NPTN
1588,STAR
1589,GJS
1590,EXFO
1591,PAND
1592,FMNB
1593,SCPE
1594,KBSF
1595,TRX
1596,CTDD
1597,HLG
1598,AGBAU
1599,BATRA
1600,GWRS
1601,QUOT
1602,FCNCP
1603,JAX
1604,CSWI
1605,PMT
1606,CVCY
1607,RFIL
1608,IID
1609,WWW
1610,TAIT
1611,SCKT
1612,HOLI
1613,OXBR
1614,CSIQ
1615,AQUA
1616,FND
1617,KLIC
1618,FGM
1619,RVNC
1620,BB
1621,CASH
1622,HSII
1623,NGHCP
1624,CEMI
1625,CGEN
1626,ITMR
1627,CLSD
1628,BAND
1629,PNQI
1630,CWBC
1631,AHCO
1632,ATO
1633,PEP
1634,BGRN
1635,NK
1636,ODC
1637,KFS
1638,TSCO
1639,DDOG
1640,FLC
1641,MRCCL
1642,RDVY
1643,SRACU
1644,CNFRL
1645,HBCP
1646,SRGA
1647,ENV
1648,CNC
1649,INDO
1650,FLGT
1651,WTRG
1652,LGI
1653,CENX
1654,WTI
1655,CHEK
1656,DWSN
1657,YJ
1658,GLG
1659,ABG
1660,IDN
1661,DENN
1662,IGICW
1663,HONE
1664,SAL
1665,EVSIW
1666,ICLN
1667,ARCC
1668,PSCT
1669,BEAM
1670,CREX
1671,CABO
1672,KB
1673,GSL
1674,IDYA
1675,F
1676,VMACU
1677,SBRA
1678,APXT
1679,BWMX
1680,BRPAR
1681,DESP
1682,MDT
1683,RBNC
1684,PDCO
1685,DRQ
1686,RRBI
1687,CLOU
1688,INSW
1689,AVAL
1690,IBEX
1691,WTT
1692,REED
1693,PDLI
1694,XSPA
1695,LMBS
1696,RSG
1697,BLD
1698,INSM
1699,BPFH
1700,AERI
1701,TARA
1702,ANNX
1703,INVH
1704,KBWP
1705,CFFA
1706,PCYO
1707,NWBI
1708,RZA
1709,IFF
1710,OCCIP
1711,CONE
1712,BSMQ
1713,ARYB
1714,CEFA
1715,HGSH
1716,HCFT
1717,HHC
1718,LOMA
1719,PTI
1720,GENE
1721,TRTN
1722,JMIA
1723,CAJ
1724,KWEB
1725,TCON
1726,PPBI
1727,JAKK
1728,AA
1729,MGR
1730,IPOC.WS
1731,OFSSZ
1732,RFP
1733,PNNTG
1734,EA
1735,GLMD
1736,MHI
1737,JHS
1738,ICFI
1739,DMTK
1740,DFVS
1741,UPLD
1742,DRADP
1743,HWC
1744,EVN
1745,SPKE
1746,PZG
1747,IPV.WS
1748,ALLO
1749,PLM
1750,GRFS
1751,SHOP
1752,AEZS
1753,TFX
1754,CMSD
1755,SPCB
1756,EQ
1757,FTOCU
1758,QTT
1759,CTO
1760,PLD
1761,MBNKP
1762,GNMK
1763,CLDX
1764,ZNH
1765,AIRTW
1766,KNDI
1767,SWKS
1768,PAR
1769,TEDU
1770,SVC
1771,AUBN
1772,RILYP
1773,FEAC.WS
1774,INFO
1775,EDTK
1776,OVLY
1777,AGS
1778,GTS
1779,STNE
1780,NNOX
1781,VSMV
1782,MHN
1783,WRK
1784,FUSN
1785,FLOW
1786,PYT
1787,MARA
1788,PROG
1789,PING
1790,SBAC
1791,JW.A
1792,TTNP
1793,BLCT
1794,ERJ
1795,MNST
1796,CPTAG
1797,PLAG
1798,AJRD
1799,BKE
1800,IGI
1801,TDAC
1802,ALJJ
1803,FRSX
1804,IKNX
1805,SHLL.WS
1806,BRQS
1807,ARNA
1808,LARK
1809,ALTR
1810,DGRE
1811,GRNVW
1812,BXP
1813,IGC
1814,SOHOB
1815,RMBL
1816,APM
1817,TREB.U
1818,NPAWW
1819,GSAH
1820,MAS
1821,CCO
1822,CTRA
1823,NSEC
1824,QTS
1825,EEA
1826,SRV
1827,CBU
1828,CHRA
1829,RMBI
1830,NCBS
1831,PPD
1832,ENO
1833,HPQ
1834,RGS
1835,TRNS
1836,BIGC
1837,HIHO
1838,SIG
1839,ASIX
1840,ALVR
1841,FFNW
1842,EVOL
1843,RCUS
1844,GJH
1845,UUUU
1846,RCM
1847,ENZL
1848,ATCXW
1849,OESX
1850,ATEC
1851,DIAX
1852,GRTS
1853,NVFY
1854,JTA
1855,SMTC
1856,LEU
1857,KRKR
1858,EPAY
1859,VSTA
1860,BOXL
1861,UBX
1862,CTL
1863,CYRN
1864,AYLA
1865,BCOW
1866,MLAC
1867,FUSE.U
1868,CAE
1869,HOG
1870,NCTY
1871,EAT
1872,PBY
1873,FSEA
1874,FCPT
1875,MGY
1876,HSON
1877,MTA
1878,VTN
1879,AMN
1880,PVBC
1881,EPM
1882,HSTO
1883,MYOK
1884,ETTX
1885,CTLT
1886,FCFS
1887,DL
1888,SINA
1889,RCI
1890,CODX
1891,UPWK
1892,QAT
1893,SPFI
1894,ACTG
1895,NATR
1896,VOYA
1897,MORN
1898,OBAS
1899,NPAUU
1900,CWST
1901,THCAU
1902,MRTN
1903,TU
1904,SGRY
1905,RMCF
1906,PGTI
1907,PANL
1908,KIRK
1909,MINDP
1910,TFSL
1911,APDN
1912,CACC
1913,VFF
1914,AMCIW
1915,OPCH
1916,BBK
1917,HDS
1918,APLE
1919,CSTL
1920,CDZI
1921,CLFD
1922,XELA
1923,WINA
1924,INFY
1925,CROX
1926,ATNI
1927,WLL
1928,PFBI
1929,LPTX
1930,TDW.WS.A
1931,XFOR
1932,RUTH
1933,USAK
1934,QCRH
1935,NWFL
1936,TCS
1937,XERS
1938,IFRX
1939,BSJK
1940,UG
1941,JBSS
1942,CGROW
1943,CETX
1944,SNMP
1945,ONCS
1946,CCRC
1947,DMLP
1948,PCF
1949,NSCO
1950,RVSB
1951,DSPG
1952,SAVE
1953,ARGD
1954,EVRI
1955,INO
1956,HCCHU
1957,RUN
1958,RP
1959,INFN
1960,ESGRO
1961,MRVL
1962,KOR
1963,FWRD
1964,LXRX
1965,UTHR
1966,FSP
1967,BSCE
1968,RKDA
1969,ICMB
1970,FC
1971,BCML
